
> connectbest-chat@0.1.0 dev
> next dev -p 8080

   ▲ Next.js 15.0.3
   - Local:        http://localhost:8080
   - Environments: .env.local

 ✓ Starting...
 ✓ Ready in 1481ms
 ○ Compiling /_not-found ...
 ✓ Compiled /_not-found in 1190ms (759 modules)
 GET /socket.io?EIO=4&transport=polling&t=30yimu3h 404 in 1394ms
 GET /socket.io?EIO=4&transport=polling&t=313ww5o8 404 in 20ms
 GET /socket.io?EIO=4&transport=polling&t=318jklsg 404 in 12ms
 GET /socket.io?EIO=4&transport=polling&t=31d66rki 404 in 10ms
 GET /socket.io?EIO=4&transport=polling&t=31hsus4b 404 in 18ms
 GET /socket.io?EIO=4&transport=polling&t=31mfhjpq 404 in 34ms
 GET /socket.io?EIO=4&transport=polling&t=31r26iz5 404 in 22ms
 GET /socket.io?EIO=4&transport=polling&t=31votdt1 404 in 19ms
 ○ Compiling /middleware ...
 ✓ Compiled /middleware in 1022ms (91 modules)
 GET /socket.io?EIO=4&transport=polling&t=320giwii 404 in 58ms
 GET /socket.io?EIO=4&transport=polling&t=324zrb8q 404 in 22ms
 ○ Compiling /chat/dm/[userId] ...
 ✓ Compiled /chat/dm/[userId] in 649ms (1069 modules)
 GET /chat/dm/692ac4758503c4ae291e29f7 200 in 1312ms
 ✓ Compiled /api/auth/[...nextauth] in 167ms (1218 modules)
 GET /api/auth/session 200 in 572ms
 GET /api/auth/session 200 in 5ms
 GET /socket.io?EIO=4&transport=polling&t=329mj26l 404 in 63ms
 GET /socket.io?EIO=4&transport=polling&t=32e95axv 404 in 21ms
 GET /socket.io?EIO=4&transport=polling&t=32ivqaiy 404 in 74ms
 GET /socket.io?EIO=4&transport=polling&t=32nigkai 404 in 15ms
 GET /socket.io?EIO=4&transport=polling&t=32s51o00 404 in 22ms
 GET /socket.io?EIO=4&transport=polling&t=32wrp4an 404 in 25ms
 ✓ Compiled /chat/[channelId] in 275ms (1220 modules)
 GET /socket.io?EIO=4&transport=polling&t=331edzwz 404 in 30ms
 GET /chat/692ad06f6193c4dddaf6c2bb 200 in 851ms
 GET /api/auth/session 200 in 33ms
 GET /api/auth/session 200 in 7ms
 GET /socket.io?EIO=4&transport=polling&t=33611fcl 404 in 38ms
 GET /chat/692ad06f6193c4dddaf6c2bb 200 in 40ms
 GET /socket.io?EIO=4&transport=polling&t=33bfh8ky 404 in 88ms
 GET /api/auth/session 200 in 39ms
 GET /api/auth/session 200 in 11ms
 GET /api/auth/session 200 in 331ms
 GET /api/auth/session 200 in 25ms
 GET /socket.io?EIO=4&transport=polling&t=33gtyv5t 404 in 9ms
 GET /socket.io?EIO=4&transport=polling&t=33lguc37 404 in 9ms
 GET /chat/dm/692ac4758503c4ae291e29f7 200 in 22ms
 GET /socket.io?EIO=4&transport=polling&t=33q393r0 404 in 17ms
 GET /chat/dm/692ac4758503c4ae291e29f7 200 in 28ms
 GET /api/auth/session 200 in 24ms
 GET /api/auth/session 200 in 10ms
 GET /socket.io?EIO=4&transport=polling&t=33upwyrr 404 in 13ms
 GET /socket.io?EIO=4&transport=polling&t=33zckuo6 404 in 23ms
 GET /socket.io?EIO=4&transport=polling&t=343z66mx 404 in 15ms
 GET /chat/dm/692ac4758503c4ae291e29f7 200 in 20ms
 GET /api/auth/session 200 in 6ms
 GET /api/auth/session 200 in 6ms
 GET /socket.io?EIO=4&transport=polling&t=348mc3cl 404 in 12ms
 GET /socket.io?EIO=4&transport=polling&t=34d8kauk 404 in 20ms
 GET /socket.io?EIO=4&transport=polling&t=34hvsveq 404 in 37ms
 GET /socket.io?EIO=4&transport=polling&t=34mi6p67 404 in 49ms
 GET /socket.io?EIO=4&transport=polling&t=34r4kit4 404 in 25ms
 GET /socket.io?EIO=4&transport=polling&t=34vrb5go 404 in 21ms
